Id,Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,noteIDs,Status
bufr4/3/05/001/1/011001,05,Meteorological or hydrological sequences common to hydrological observations,305001,(SADC-HYCOS single measurement),,011001,Wind direction,,,,Operational
bufr4/3/05/001/2/011002,05,Meteorological or hydrological sequences common to hydrological observations,305001,(SADC-HYCOS single measurement),,011002,Wind speed,,,,Operational
bufr4/3/05/001/3/013060,05,Meteorological or hydrological sequences common to hydrological observations,305001,(SADC-HYCOS single measurement),,013060,Total accumulated precipitation,,,,Operational
bufr4/3/05/001/4/013071,05,Meteorological or hydrological sequences common to hydrological observations,305001,(SADC-HYCOS single measurement),,013071,Upstream water level,,,,Operational
bufr4/3/05/002/1/301012,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,301012,"Hour, minute",,,,Operational
bufr4/3/05/002/2/012001,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,012001,Temperature/air temperature,,,,Operational
bufr4/3/05/002/3/013003,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013003,Relative humidity,,,,Operational
bufr4/3/05/002/4/014051,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,014051,Direct solar radiation integrated over last hour,,,,Operational
bufr4/3/05/002/5/013060,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013060,Total accumulated precipitation,,,,Operational
bufr4/3/05/002/6/013072,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013072,Downstream water level,,,,Operational
bufr4/3/05/002/7/013080,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013080,Water pH,,,,Operational
bufr4/3/05/002/8/013081,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013081,Water conductivity,,,,Operational
bufr4/3/05/002/9/013082,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013082,Water temperature,,,,Operational
bufr4/3/05/002/10/013083,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013083,Dissolved oxygen,,,,Operational
bufr4/3/05/002/11/013084,05,Meteorological or hydrological sequences common to hydrological observations,305002,(SADC-HYCOS environmental measurement),,013084,Turbidity,,,,Operational
bufr4/3/05/003/1/301012,05,Meteorological or hydrological sequences common to hydrological observations,305003,(SADC-HYCOS measurement array definition),,301012,"Hour, minute",First single measurement minus increment,,,Operational
bufr4/3/05/003/2/004065,05,Meteorological or hydrological sequences common to hydrological observations,305003,(SADC-HYCOS measurement array definition),,004065,Short time increment,Time interval between measurements,,,Operational
bufr4/3/05/003/3/101000,05,Meteorological or hydrological sequences common to hydrological observations,305003,(SADC-HYCOS measurement array definition),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/05/003/4/031001,05,Meteorological or hydrological sequences common to hydrological observations,305003,(SADC-HYCOS measurement array definition),,031001,Delayed descriptor replication factor,,,,Operational
bufr4/3/05/003/5/305001,05,Meteorological or hydrological sequences common to hydrological observations,305003,(SADC-HYCOS measurement array definition),,305001,SADC-HYCOS single measurement,,,,Operational
bufr4/3/05/004/1/301030,05,Meteorological or hydrological sequences common to hydrological observations,305004,(SADC-HYCOS report),,301030,Identification - with physical location,,,,Operational
bufr4/3/05/004/2/305002,05,Meteorological or hydrological sequences common to hydrological observations,305004,(SADC-HYCOS report),,305002,SADC-HYCOS environmental measurement,,,,Operational
bufr4/3/05/004/3/305003,05,Meteorological or hydrological sequences common to hydrological observations,305004,(SADC-HYCOS report),,305003,SADC-HYCOS measurement array definition,,,,Operational
bufr4/3/05/006/1/013072,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,013072,Downstream water level,,,,Operational
bufr4/3/05/006/2/013082,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,013082,Water temperature,,,,Operational
bufr4/3/05/006/3/013019,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,013019,Total precipitation past 1 hour,,,,Operational
bufr4/3/05/006/4/012001,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,012001,Temperature/air temperature,,,,Operational
bufr4/3/05/006/5/013073,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,013073,Maximum water level,,,,Operational
bufr4/3/05/006/6/013060,05,Meteorological or hydrological sequences common to hydrological observations,305006,(MEDHYCOS measurement),,013060,Total accumulated precipitation,,,,Operational
bufr4/3/05/007/1/301029,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,301029,Identification,,,,Operational
bufr4/3/05/007/2/301012,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,301012,"Hour, minute",Time of first measurement,,,Operational
bufr4/3/05/007/3/004065,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,004065,Short time increment,Time interval between measurements,,,Operational
bufr4/3/05/007/4/101000,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,101000,Delayed replication of 1 descriptor,,,,Operational
bufr4/3/05/007/5/031001,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,031001,Delayed descriptor replication factor,,,,Operational
bufr4/3/05/007/6/305006,05,Meteorological or hydrological sequences common to hydrological observations,305007,(MEDHYCOS report),,305006,MEDHYCOS measurement,Single measurement,,,Operational
