FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
012172,Thermal index type,0,Humidex,,,,,Operational
012172,Thermal index type,1,Wind chill,,,,,Operational
012172,Thermal index type,2,Wet bulb glob temperature (WGBT),,,,,Operational
012172,Thermal index type,3,Apparent temperature,,,,,Operational
012172,Thermal index type,4,Normal effective temperature,,,,,Operational
012172,Thermal index type,5,Universal thermal comfort index (UTCI),,,,,Operational
012172,Thermal index type,6,Heat index,,,,,Operational
012172,Thermal index type,7-30,Reserved,,,,,Operational
012172,Thermal index type,31,Missing value,,,,,Operational
