ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
28,Non-coordinate location (horizontal - 2),028001,Longitude (high accuracy),deg,5,-18000000,26,deg,5,8,,,Operational
28,Non-coordinate location (horizontal - 2),028002,Longitude (coarse accuracy),deg,2,-18000,16,deg,2,5,,,Operational
28,Non-coordinate location (horizontal - 2),028003,Alternate longitude (coarse accuracy),deg,2,-18000,16,deg,2,5,(see Note 1),133,Operational
28,Non-coordinate location (horizontal - 2),028004,Alternate longitude (high accuracy),deg,5,-18000000,26,deg,5,8,(see Note 1),133,Operational
28,Non-coordinate location (horizontal - 2),028010,Footprint axis 2,m,-1,0,14,m,-1,5,,,Operational
28,Non-coordinate location (horizontal - 2),028031,"In direction 90 degrees East, distance from the Earth's centre",m,2,-1073741824,31,m,2,10,(see Notes 2 and 3),"94,152",Operational
