FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
002001,Type de station,0,Station automatique,,,,,Operational
002001,Type de station,1,Station dotée de personnel,,,,,Operational
002001,Type de station,2,Station mixte: automatique et dotée de personnel,,,,,Operational
002001,Type de station,3,Valeur manquante,,,,,Operational
002002,Type d'instrument pour la mesure du vent,,Type d'instrument et unités initiales pour la mesure du vent (en m s-¹ sauf indication contraire),,,,,Operational
002002,Type d'instrument pour la mesure du vent,1,Instruments homologués,,,,,Operational
002002,Type d'instrument pour la mesure du vent,2,Mesuré initialement en nœuds,,,,,Operational
002002,Type d'instrument pour la mesure du vent,3,Mesuré initialement en km h-¹,,,,,Operational
002002,Type d'instrument pour la mesure du vent,4 bits mis à 1,Valeur manquante,,,,,Operational
002003,Type d'équipement de mesure utilisé,0,Instruments de mesure de la pression associés à l'équipement de mesure du vent,,,,,Operational
002003,Type d'équipement de mesure utilisé,1,Théodolite optique,,,,,Operational
002003,Type d'équipement de mesure utilisé,2,Radiothéodolite,,,,,Operational
002003,Type d'équipement de mesure utilisé,3,Radar,,,,,Operational
002003,Type d'équipement de mesure utilisé,4,Système Oméga en ondes myriamétriques,,,,,Operational
002003,Type d'équipement de mesure utilisé,5,Loran-C,,,,,Operational
002003,Type d'équipement de mesure utilisé,6,Profileur de vent,,,,,Operational
002003,Type d'équipement de mesure utilisé,7,Localisation par satellite,,,,,Operational
002003,Type d'équipement de mesure utilisé,8,Système de sondage radio-acoustique (RASS),,,,,Operational
002003,Type d'équipement de mesure utilisé,9,Sodar,,,,,Operational
002003,Type d'équipement de mesure utilisé,10,Lidar,,,,,Operational
002003,Type d'équipement de mesure utilisé,11-13,En réserve,,,,,Operational
002003,Type d'équipement de mesure utilisé,14,"Instruments de mesure de la pression associés à l'équipement de mesure du vent, mais les instruments de mesure de la pression sont tombés en panne pendant la montée",,,,,Operational
