FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status
002003,Type d'équipement de mesure utilisé,15,Valeur manquante,,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,0,Bac ouvert américain (non couvert),Évaporation,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,1,Bac ouvert américain (couvert d'un treillis),Évaporation,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,2,Evaporomètre GGI-3000 (bac enterré),Évaporation,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,3,Bassin de 20 m²,Évaporation,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,4,Autres instruments,Évaporation,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,5,Riz,Évapotranspiration,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,6,Blé,Évapotranspiration,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,7,Maïs,Évapotranspiration,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,8,Sorgho,Évapotranspiration,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,9,Autres cultures,Évapotranspiration,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,10-14,En réserve,,,,,Operational
002004,Type d'instrument utilisé pour la mesure de l'évaporation ou type de culture pour lequel est indiquée l'évapotranspiration,15,Valeur manquante,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,0,En réserve,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,1,Codeur rotatif et flotteur,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,2,Ultrasons,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,3,Radar,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,4,Pression (transducteur unique),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,5,Pression (transducteur multiple),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,6,Pression (puits de limnigraphe),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,7,Pression (système «bulle à bulle»),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,8,Acoustique (tube de sonde),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,9,Acoustique (à l'air libre),,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,10-62,En réserve,,,,,Operational
002007,Type de capteur pour les instruments de mesure de la hauteur d'eau,63,Valeur manquante,,,,,Operational
002008,Type de plate-forme en mer,0,Plate-forme fixe,,,,,Operational
002008,Type de plate-forme en mer,1,Navire de forage constituant une plate-forme mobile,,,,,Operational
002008,Type de plate-forme en mer,2,Plate-forme à vérins,,,,,Operational
002008,Type de plate-forme en mer,3,Plate-forme semi-submersible,,,,,Operational
002008,Type de plate-forme en mer,4,"Unité flottante de production, stockage et déchargement (FPSO)",,,,,Operational
002008,Type de plate-forme en mer,5,Bateau-feu,,,,,Operational
002008,Type de plate-forme en mer,6-14,En réserve,,,,,Operational
002008,Type de plate-forme en mer,15,Valeur manquante,,,,,Operational
002011,Type de radiosonde,,,,,(Voir la table de code commune C-2 dans la Partie C/c.),,Operational
002012,Méthode de calcul des données de radiosondage,,(À établir),,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,0,Pas de correction,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,1,Correction solaire CIMO et correction infrarouge CIMO,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,2,Correction solaire CIMO et correction infrarouge,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,3,Correction solaire CIMO seulement,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,4,Correction solaire et infrarouge automatique par système de radiosonde,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,5,Correction solaire automatique par système de radiosonde,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,6,"Correction solaire et infrarouge, selon indications données par pays",,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,7,"Correction solaire, selon indications données par pays",,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,8,"Correction du rayonnement solaire et infrarouge, selon les indications du GRUAN*",,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,9,"Correction du rayonnement solaire, selon les indications du GRUAN",,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,10-14,En réserve,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,15,Valeur manquante,,,,,Operational
002013,Correction du rayonnement solaire et infrarouge,*,GRUAN: Réseau aérologique de référence du SMOC,,,,,Operational
002014,Technique de poursuite/état du système utilisé,,,,,(Voir la table de code commune C-7 dans la Partie C/c.),,Operational
002015,Degré d'équipement de la radiosonde,0,En réserve,,,,,Operational
002015,Degré d'équipement de la radiosonde,1,Radiosonde uniquement pour la mesure de la pression,,,,,Operational
002015,Degré d'équipement de la radiosonde,2,"Radiosonde uniquement pour la mesure de la pression, équipée d'un transpondeur",,,,,Operational
002015,Degré d'équipement de la radiosonde,3,"Radiosonde uniquement pour la mesure de la pression, équipée d'un réflecteur radar",,,,,Operational
002015,Degré d'équipement de la radiosonde,4,"Radiosonde ne mesurant pas la pression, équipée d'un transpondeur",,,,,Operational
002015,Degré d'équipement de la radiosonde,5,"Radiosonde ne mesurant pas la pression, équipée d'un réflecteur radar",,,,,Operational
002015,Degré d'équipement de la radiosonde,6-14,En réserve,,,,,Operational
002015,Degré d'équipement de la radiosonde,15,Valeur manquante,,,,,Operational
002016,Configuration de la radiosonde,1,Régulateur de traîne,,,,,Operational
002016,Configuration de la radiosonde,2,Charge légère,,,,,Operational
002016,Configuration de la radiosonde,3,Parachute,,,,,Operational
002016,Configuration de la radiosonde,4,Lâcher à partir d'un toit,,,,,Operational
002016,Configuration de la radiosonde,5 bits mis à 1,Valeur manquante,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,0,Pas de correction,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,1,Correction du décalage dans le temps fournie par le fabricant,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,2,Correction du rayonnement solaire fournie par le fabricant,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,3,Correction du rayonnement solaire et du décalage dans le temps fournie par le fabricant,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,4-6,En réserve,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,7,"Correction du rayonnement solaire et du décalage dans le temps, selon les indications du GRUAN",,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,8-30,En réserve,,,,,Operational
002017,Algorithmes de correction pour les mesures d'humidité,31,Valeur manquante,,,,,Operational
002019,Instruments satellitaires,,,,,(Voir la table de code commune C-8 dans la Partie C/c.),,Operational
002020,Classification des satellites,0,Nimbus,,,,,Operational
002020,Classification des satellites,1,VTPR,,,,,Operational
002020,Classification des satellites,2,"Tiros 1 (Tiros, NOAA-6 à NOAA-13)",,,,,Operational
002020,Classification des satellites,3,Tiros 2 (NOAA-14 et suivants),,,,,Operational
002020,Classification des satellites,10,EOS,,,,,Operational
002020,Classification des satellites,20,GPM-core,,,,,Operational
002020,Classification des satellites,31,DMSP,,,,,Operational
002020,Classification des satellites,61,Système polaire EUMETSAT (EPS),,,,,Operational
002020,Classification des satellites,91,ERS,,,,,Operational
002020,Classification des satellites,92,Sentinel-3,,,,,Operational
002020,Classification des satellites,121,ADEOS,,,,,Operational
002020,Classification des satellites,122,GCOM,,,,,Operational
002020,Classification des satellites,241,GOES,,,,,Operational
002020,Classification des satellites,261,JASON,,,,,Operational
002020,Classification des satellites,271,GMS,,,,,Operational
002020,Classification des satellites,272,MTSAT,,,,,Operational
002020,Classification des satellites,273,Himawari,,,,,Operational
002020,Classification des satellites,281,COMS,,,,,Operational
002020,Classification des satellites,301,INSAT,,,,,Operational
002020,Classification des satellites,331,Programme opérationnel METEOSAT (MOP),,,,,Operational
002020,Classification des satellites,332,Programme METEOSAT de transition (MTP),,,,,Operational
002020,Classification des satellites,333,Programme de satellites METEOSAT de la seconde génération (MSG),,,,,Operational
002020,Classification des satellites,351,GOMS,,,,,Operational
002020,Classification des satellites,380,FY-1,,,,,Operational
002020,Classification des satellites,381,FY-2,,,,,Operational
002020,Classification des satellites,382,FY-3,,,,,Operational
002020,Classification des satellites,383,FY-4,,,,,Operational
002020,Classification des satellites,384-400,En réserve,,,,,Operational
002020,Classification des satellites,401,GPS,,,,,Operational
002020,Classification des satellites,402,GLONASS,,,,,Operational
002020,Classification des satellites,403,GALILEO,,,,,Operational
002020,Classification des satellites,404,BDS (Système de navigation par satellite Beidou),,,,,Operational
002020,Classification des satellites,405-510,En réserve,,,,,Operational
002020,Classification des satellites,511,Valeur manquante,,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,1,Sondeur en infrarouge à grand pouvoir séparateur (HIRS),,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,2,Sondeur à hyperfréquence (MSU),,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,3,Sondeur stratosphérique (SSU),,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,4,AMI mode vent,,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,5,AMI mode onde,,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,6,AMI mode image,,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,7,Altimètre RADAR,,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,8,ATSR (radiomètre à balayage dans le sens de la trace au sol),,,,,Operational
002021,Données instrumentales satellitaires utilisées dans le traitement,9 bits mis à 1,Valeur manquante,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,1,Technique de traitement non définie,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,2,Régression statistique automatique,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,3,Mesure ciel clair,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,4,Mesure ciel partiellement couvert,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,5,Mesure ciel couvert,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,6-7,En réserve,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,8 bits mis à 1,Valeur manquante,,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,NOTE 1,"L'expression «mesure ciel clair» indique que les valeurs de sondage ont été obtenues à partir des valeurs de la luminance énergétique par ciel clair dérivées de mesures réelles sur point à ciel dégagé. On s'est servi de données HIRS troposphériques et stratosphériques, ainsi que de données MSU et SSU.",,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,NOTE 2,"L'expression «mesure ciel partiellement couvert» indique que les valeurs de sondage ont été obtenues à partir des valeurs de la luminance énergétique par ciel clair, elles-mêmes calculées à partir de données concernant des points partiellement couverts. On s'est servi de données HIRS troposphériques et stratosphériques, ainsi que de données MSU et SSU.",,,,,Operational
002022,Technique utilisée pour le traitement des données satellitaires,NOTE 3,"L'expression «mesure ciel couvert» indique que les valeurs de sondage sont obtenues uniquement à partir de données HIRS stratosphériques, de données MSU et de données SSU. Le ciel étant couvert, on n'a pas utilisé de données HIRS troposphériques.",,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,0,En réserve,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,1,Vent dérivé du déplacement des nuages observé dans le canal infrarouge,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,2,Vent dérivé du déplacement des nuages observé dans le canal visible,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,3,Vent dérivé des déplacements des nuages observés dans le canal de la vapeur d'eau,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,4,Vent dérivé des mouvements observés dans plusieurs canaux spectraux combinés,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,5,Vent dérivé des mouvements observés dans le canal de la vapeur d'eau en ciel clair,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,6,Vent dérivé des mouvements observés dans le canal de l'ozone,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,7,Vent dérivé du déplacement observé dans le canal de la vapeur d'eau (ciel couvert ou ciel clair non précisé),,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,8-12,En réserve,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,13,Racine carrée moyenne,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,14,En réserve,,,,,Operational
002023,Méthode de calcul du vent à partir de données satellitaires,15,Valeur manquante,,,,,Operational
002024,Méthode de calcul de l'humidité moyenne intégrée,0,En réserve,,,,,Operational
002024,Méthode de calcul de l'humidité moyenne intégrée,1,Table indiquant toute la variation de l'humidité dans la couche,,,,,Operational
002024,Méthode de calcul de l'humidité moyenne intégrée,2,Technique de régression appliquée à 2 valeurs hygrométriques de la couche,,,,,Operational
002024,Méthode de calcul de l'humidité moyenne intégrée,3-14,En réserve,,,,,Operational
002024,Méthode de calcul de l'humidité moyenne intégrée,15,Valeur manquante,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,1,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,,"Groupe 1 — Eau précipitable pour les couches: surface à 700 hPa, 700 à 500 hPa, et 500 à 300 hPa",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,2,HIRS,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,3,MSU,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,4-5,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,,Groupe 2 — Température et pression au niveau de la tropopause,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,6,HIRS,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,7,MSU,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,8-9,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,,Groupe 3 — Ozone total,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,10,"HIRS (1, 2, 3, 8, 9, 16, 17)",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,11,"HIRS (1, 2, 3, 9, 17)",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,12,MSU,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,13-14,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,,"Groupe 4 — Température moyenne pour les couches: surface à 850 hPa, 850 à 700 hPa, 700 à 500 hPa, 500 à 400 hPa, 400 à 300 hPa, 300 à 200 hPa, et 200 à 100 hPa",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,15,HIRS,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,16,HIRS*,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,17,MSU,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,18,SKINTK (océan uniquement),,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,19-20,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,,"Groupe 5 — Combinaison de canaux utilisés pour obtenir des températures moyennes pour les couches: 100 à 70 hPa, 70 à 50 hPa, 50 à 30 hPa, 30 à 10 hPa, 10 à 5 hPa, 5 à 2 hPa, 2 à 1 hPa, 1 à 0,4 hPa",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,21,HIRS*,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,22,SSU,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,23,"MSU (3, 4)",,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,24,En réserve,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,25 bits mis à 1,Valeur manquante,,,,,Operational
002025,Canal (canaux) de satellite utilisé(s) pour les calculs d'indicateurs,NOTE,"HIRS* signifie: canaux HIRS 1 (669 cm-1), 2 (679 cm-1), 3 (690 cm-1), 4 (2358 cm-1)",,,,,Operational
002030,Méthode de mesure du courant,0,En réserve,,,,,Operational
002030,Méthode de mesure du courant,1*,Profileur acoustique de courant Doppler,,,,,Operational
002030,Méthode de mesure du courant,2,GEK (électrocinétographe géomagnétique),,,,,Operational
002030,Méthode de mesure du courant,3,Direction et dérive du navire déterminées par des relevés effectués à intervalles de 3 à 6 heures,,,,,Operational
002030,Méthode de mesure du courant,4,"Direction et dérive du navire déterminées par des relevés effectués à intervalles de plus de 6 heures, mais de moins de 12 heures",,,,,Operational
002030,Méthode de mesure du courant,5,Dérive de la bouée,,,,,Operational
002030,Méthode de mesure du courant,6,Profileur acoustique de courant Doppler,,,,,Operational
002030,Méthode de mesure du courant,7,Valeur manquante,,,,,Operational
002030,Méthode de mesure du courant,*,Valeur caduque; le chiffre du code 6 devrait être utilisé.,,,,,Operational
002031,Durée et heure de la mesure du courant,0,En réserve,,,,,Operational
002031,Durée et heure de la mesure du courant,1,Mesure instantanée,,,,,Operational
002031,Durée et heure de la mesure du courant,2,Valeur moyenne mesurée sur 3 min ou moins,La mesure a été faite entre H-1 et H,,,,Operational
002031,Durée et heure de la mesure du courant,3,"Valeur moyenne mesurée sur plus de 3 min, mais pas au-delà de 6 min",La mesure a été faite entre H-1 et H,,,,Operational
002031,Durée et heure de la mesure du courant,4,"Valeur moyenne mesurée sur plus de 6 min, mais pas au-delà de 12 min",La mesure a été faite entre H-1 et H,,,,Operational
002031,Durée et heure de la mesure du courant,5,Mesure instantanée,La mesure a été faite entre H-2 et H-1,,,,Operational
002031,Durée et heure de la mesure du courant,6,Valeur moyenne mesurée sur 3 min ou moins,La mesure a été faite entre H-2 et H-1,,,,Operational
002031,Durée et heure de la mesure du courant,7,"Valeur moyenne mesurée sur plus de 3 min, mais pas au-delà de 6 min",La mesure a été faite entre H-2 et H-1,,,,Operational
002031,Durée et heure de la mesure du courant,8,"Valeur moyenne mesurée sur plus de 6 min, mais pas au-delà de 12 min",La mesure a été faite entre H-2 et H-1,,,,Operational
002031,Durée et heure de la mesure du courant,9,La méthode vectorielle ou la méthode Doppler d'établissement du profil du courant ne sont pas utilisées,,,,,Operational
002031,Durée et heure de la mesure du courant,10,En réserve,,,,,Operational
002031,Durée et heure de la mesure du courant,11,1 heure ou moins,,,,,Operational
002031,Durée et heure de la mesure du courant,12,"Plus de 1 heure, mais pas au-delà de 2 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,13,"Plus de 2 heures, mais pas au-delà de 4 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,14,"Plus de 4 heures, mais pas au-delà de 8 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,15,"Plus de 8 heures, mais pas au-delà de 12 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,16,"Plus de 12 heures, mais pas au-delà de 18 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,17,"Plus de 18 heures, mais pas au-delà de 24 heures",,,,,Operational
002031,Durée et heure de la mesure du courant,18,En réserve,,,,,Operational
002031,Durée et heure de la mesure du courant,19,La méthode de la dérive n'est pas utilisée,,,,,Operational
002031,Durée et heure de la mesure du courant,20-30,En réserve,,,,,Operational
002031,Durée et heure de la mesure du courant,31,Valeur manquante,,,,,Operational
002031,Durée et heure de la mesure du courant,NOTE 1,Chiffres du code 1 à 9: durée et heure de la mesure du courant (méthode vectorielle ou méthode Doppler d'établissement du profil du courant).,,,,,Operational
002031,Durée et heure de la mesure du courant,NOTE 2,Chiffres du code 11 à 19: période de la mesure du courant (méthode de la dérive).,,,,,Operational
002031,Durée et heure de la mesure du courant,NOTE 3,H = heure d'observation.,,,,,Operational
002032,Indicateur de numérisation,0,Valeurs correspondant à des profondeurs sélectionnées (points de données fixés par l'instrument ou choisis par toute autre méthode),,,,,Operational
002032,Indicateur de numérisation,1,Valeurs correspondant à des profondeurs sélectionnées (points de données choisis sur les traces à des profondeurs significatives),,,,,Operational
002032,Indicateur de numérisation,2,En réserve,,,,,Operational
002032,Indicateur de numérisation,3,Valeur manquante,,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,0,Pas de mesure de la salinité,,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,1,"Salinomètre in situ, exactitude meilleure que 0,02 °/00",,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,2,"Salinomètre in situ, exactitude inférieure à 0,02 °/00",,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,3,Analyse d'échantillons,,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,4-6,En réserve,,,,,Operational
002033,Méthode de mesure de la salinité en fonction de la profondeur,7,Valeur manquante,,,,,Operational
002034,Type de lest (stabilisateur),0,Lest non précisé,,,,,Operational
002034,Type de lest (stabilisateur),1,Cylindre troué,,,,,Operational
002034,Type de lest (stabilisateur),2,TRISTAR,,,,,Operational
002034,Type de lest (stabilisateur),3,Type fenêtre,,,,,Operational
002034,Type de lest (stabilisateur),4,Parachute,,,,,Operational
002034,Type de lest (stabilisateur),5,Ancre flottante non lagrangienne,,,,,Operational
002034,Type de lest (stabilisateur),6-30,En réserve,,,,,Operational
002034,Type de lest (stabilisateur),31,Valeur manquante,,,,,Operational
002036,Type de bouée,0,Bouée dérivante,,,,,Operational
002036,Type de bouée,1,Bouée ancrée,,,,,Operational
002036,Type de bouée,2,Flotteur immergé (en mouvement),,,,,Operational
002036,Type de bouée,3,Valeur manquante,,,,,Operational
002037,Méthode d'observation des marées,0,En réserve,,,,,Operational
002037,Méthode d'observation des marées,1,Lecture manuelle sur une échelle verticale de marée,,,,,Operational
002037,Méthode d'observation des marées,2,Lecture manuelle dans la station sur un seul enregistreur automatique,,,,,Operational
002037,Méthode d'observation des marées,3,Lecture manuelle dans la station sur plusieurs enregistreurs automatiques,,,,,Operational
002037,Méthode d'observation des marées,4,Lecture automatique dans la station sur un seul enregistreur automatique sans contrôle de la référence de niveau,,,,,Operational
002037,Méthode d'observation des marées,5,"Lecture automatique dans la station sur un seul enregistreur automatique avec contrôle de la référence de niveau, ou sur plusieurs enregistreurs automatiques",,,,,Operational
002037,Méthode d'observation des marées,6,En réserve,,,,,Operational
002037,Méthode d'observation des marées,7,Valeur manquante,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,0,Prise d'eau du navire,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,1,Seau,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,2,Capteur au contact avec la coque,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,3,Thermomètre à renversement,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,4,Capteur STP/CTP,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,5,BT mécanique,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,6,BT non récupérable,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,7,BT numérique,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,8,Chaîne de thermistances,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,9,Balayeur à infrarouge,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,10,Balayeur en hyperfréquences,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,11,Radiomètre infrarouge,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,12,Thermosalinographe en continu,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,13,Corps remorqué,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,14,Autres,,,,,Operational
002038,Méthode de mesure de la température et/ou de la salinité de l'eau,15,Valeur manquante,,,,,Operational
002039,Méthode de mesure de la température du thermomètre mouillé,0,Valeur mesurée de la température du thermomètre mouillé,,,,,Operational
002039,Méthode de mesure de la température du thermomètre mouillé,1,Température du thermomètre mouillé mesurée sur thermomètre à réservoir recouvert de glace,,,,,Operational
002039,Méthode de mesure de la température du thermomètre mouillé,2,Valeur calculée de la température du thermomètre mouillé,,,,,Operational
002039,Méthode de mesure de la température du thermomètre mouillé,3,Température du thermomètre mouillé calculée à partir d'un thermomètre à réservoir recouvert de glace,,,,,Operational
002039,Méthode de mesure de la température du thermomètre mouillé,4-6,En réserve,,,,,Operational
