Id,ClassNo,ClassName_es,FXY,ElementName_es,BUFR_Unit_es,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_es,CREX_Scale,CREX_DataWidth_Char,Note_es,noteIDs,Status
bufr4/0/12/001,12,Temperatura,012001,Temperatura/temperatura del aire,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/002,12,Temperatura,012002,Temperatura de bulbo húmedo,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/003,12,Temperatura,012003,Temperatura del punto de rocío,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/004,12,Temperatura,012004,Temperatura del aire a 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/005,12,Temperatura,012005,Temperatura de bulbo húmedo a 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/006,12,Temperatura,012006,Temperatura del punto de rocío a 2 m,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/007,12,Temperatura,012007,Temperatura virtual,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/008,12,Temperatura,012008,Incertidumbre en la temperatura virtual,K,1,0,12,°C,1,4,,,Operational
bufr4/0/12/011,12,Temperatura,012011,Temperatura máxima en altura y durante un período determinado,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/012,12,Temperatura,012012,Temperatura mínima en altura y durante un período determinado,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/013,12,Temperatura,012013,Temperatura mínima del suelo en el curso de las 12 horas precedentes,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/014,12,Temperatura,012014,Temperatura máxima a 2 m en el curso de las 12 horas precedentes,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/015,12,Temperatura,012015,Temperatura mínima a 2 m en el curso de las 12 horas precedentes,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/016,12,Temperatura,012016,Temperatura máxima a 2 m en el curso de las 24 horas precedentes,K,1,0,12,°C,1,3,,,Operational
bufr4/0/12/017,12,Temperatura,012017,Temperatura mínima a 2 m en el curso de las 24 horas precedentes,K,1,0,12,°C,1,3,,,Operational
