"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"25","Classe 25 — Informations sur le traitement","025108","Dernière cellule en longueur d'onde","m","3","0","29","m","3","","","","Operational"
"25","Classe 25 — Informations sur le traitement","025110","Traitement de l'image en abrégé","Table d'indicateurs","0","0","10","Table d'indicateurs","0","","","","Operational"
"25","Classe 25 — Informations sur le traitement","025111","Nombre de données manquantes à la réception","Numérique","0","0","8","Numérique","0","","","","Operational"
"25","Classe 25 — Informations sur le traitement","025112","Indicateur de qualité des données de l'altimètre dans une bande précise","Table d'indicateurs","0","0","9","Table d'indicateurs","0","","","","Operational"
"25","Classe 25 — Informations sur le traitement","025113","Indicateur de qualité de la correction de l'altimètre dans une bande précise","Table d'indicateurs","0","0","9","Table d'indicateurs","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025120","Indicateur de traitement de niveau 2 - données RA-2","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025121","Qualité du traitement de niveau 2 – données RA-2","%","0","0","7","%","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025122","Configuration matérielle – radiofréquence","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025123","Configuration matérielle - amplificateur de grande puissance","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025124","Indicateur de traitement de niveau 2 - données MWR","Table de code","0","0","2","Table de code","0","1","","","Operational"
"25","Classe 25 — Informations sur le traitement","025125","Qualité du traitement de niveau 2 – données MWR","%","0","0","7","%","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025126","Correction de troposphère sèche – modèle","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025127","Correction de baromètre inverse","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025128","Correction de troposphère humide – modèle","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025129","Correction de troposphère humide – données MWR","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025130","Correction ionosphérique – données RA-2 en bande Ku","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025131","Correction ionosphérique – données Doris en bande Ku","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025132","Correction ionosphérique – modèle en bande Ku","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025133","Correction du biais d'état de la mer en bande Ku","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025134","Correction ionosphérique - données RA-2 en bande S","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025135","Correction ionosphérique – données Doris en bande S","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025136","Correction ionosphérique - modèle en bande S","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025137","Correction du biais d'état de la mer en bande S","m","3","-32768","16","m","3","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025138","Rapport signal-bruit moyen","Numérique","0","-2048","12","Numérique","0","4","","","Operational"
"25","Classe 25 — Informations sur le traitement","025140","Début canal","Numérique","0","0","14","Numérique","0","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025141","Fin canal","Numérique","0","0","14","Numérique","0","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025142","Facteur d'échelle du canal","Numérique","0","0","6","Numérique","0","2","","","Operational"
"25","Classe 25 — Informations sur le traitement","025143","Coefficient linéaire","Numérique","6","-5000000","24","Numérique","6","8","","","Operational"
"25","Classe 25 — Informations sur le traitement","025148","Coefficient de variation","Numérique","2","-10000","15","Numérique","2","5","","","Operational"
"25","Classe 25 — Informations sur le traitement","025149","Coût estimatif optimal","Numérique","0","0","8","Numérique","0","3","","","Operational"
"25","Classe 25 — Informations sur le traitement","025150","Méthode d'analyse de l'intensité du cyclone tropical par les images de satellite","Table de code","0","0","4","Table de code","0","2","","","Operational"
