"ClassNo","ClassName_fr","FXY","ElementName_fr","BUFR_Unit_fr","BUFR_Scale","BUFR_ReferenceValue","BUFR_DataWidth_Bits","CREX_Unit_fr","CREX_Scale","CREX_DataWidth_Char","Note_fr","noteIDs","Status"
"41","Classe 41 Paramètres océanographiques/biogéochimiques","041001","pCO2","Pa","3","0","18","Pa","3","6","","","Operational"
"41","Classe 41 Paramètres océanographiques/biogéochimiques","041002","Fluorescence","kg 1-1","12","0","16","kg 1-1","12","5","","","Operational"
"41","Classe 41 Paramètres océanographiques/biogéochimiques","041003","Nitrates dissous","μmol kg-1","3","0","17","µmol kg-1","3","5","","","Operational"
"41","Classe 41 Paramètres océanographiques/biogéochimiques","041005","Turbidité","UTN","2","0","12","UTN","2","4","","","Operational"
