Id,ClassNo,ClassName_fr,FXY,ElementName_fr,BUFR_Unit_fr,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit_fr,CREX_Scale,CREX_DataWidth_Char,Note_fr,noteIDs,Status
bufr4/0/01/104,01,Classe 01 — Identification BUFR/CREX,001104,Indicateur d’identification de l’État/ État fédéral,CCITT IA5,0,0,32,Caractère,0,4,,,Operational
bufr4/0/01/105,01,Classe 01 — Identification BUFR/CREX,001105,Indicateur de l’axe routier,CCITT IA5,0,0,40,Caractère,0,5,,,Operational
bufr4/0/01/106,01,Classe 01 — Identification BUFR/CREX,001106,Emplacement le long de l’axe routier indiqué par des repères de position,m,-2,0,14,m,-2,5,,,Operational
bufr4/0/01/110,01,Classe 01 — Identification BUFR/CREX,001110,Immatriculation de l’aéronef,CCITT IA5,0,0,48,Caractère,0,6,,,Operational
bufr4/0/01/111,01,Classe 01 — Identification BUFR/CREX,001111,Aéroport de départ,CCITT IA5,0,0,24,Caractère,0,3,,,Operational
bufr4/0/01/112,01,Classe 01 — Identification BUFR/CREX,001112,Aéroport de destination,CCITT IA5,0,0,24,Caractère,0,3,,,Operational
bufr4/0/01/113,01,Classe 01 — Identification BUFR/CREX,001113,Numéro de la version du modèle défini par le centre d’origine,Numérique,1,0,9,Numérique,1,3,,,Operational
bufr4/0/01/114,01,Classe 01 — Identification BUFR/CREX,001114,Indicateur d’identification chiffré du navire ou d’une station terrestre mobile (chiffrement Base64),CCITT IA5,0,0,352,Caractère,0,44,,,Operational
bufr4/0/01/115,01,Classe 01 — Identification BUFR/CREX,001115,Identificateur de la campagne ou de la mission au titre de laquelle les données ont été recueillies,CCITT IA5,0,0,160,Caractère,0,20,,,Operational
bufr4/0/01/124,01,Classe 01 — Identification BUFR/CREX,001124,Indicateur d’identification des points de grille,Numérique,0,0,24,Numérique,0,8,,,Operational
bufr4/0/01/125,01,Classe 01 — Identification BUFR/CREX,001125,Série d’identifiants du WIGOS,Numérique,0,0,4,Numérique,0,2,,,Operational
bufr4/0/01/126,01,Classe 01 — Identification BUFR/CREX,001126,Émetteur d’identifiants du WIGOS,Numérique,0,0,16,Numérique,0,5,,,Operational
bufr4/0/01/127,01,Classe 01 — Identification BUFR/CREX,001127,Numéro d’émission du WIGOS,Numérique,0,0,16,Numérique,0,5,,,Operational
bufr4/0/01/128,01,Classe 01 — Identification BUFR/CREX,001128,Identifiant local du WIGOS (caractère),CCITT IA5,0,0,128,Caractère,0,16,,,Operational
bufr4/0/01/144,01,Classe 01 — Identification BUFR/CREX,001144,Indicateur d’identification de l’instantané,Numérique,0,0,31,Numérique,0,10,,,Operational
bufr4/0/01/150,01,Classe 01 — Identification BUFR/CREX,001150,Système de coordonnées de référence,Table de code,0,0,16,Table de code,0,5,,,Operational
bufr4/0/01/151,01,Classe 01 — Identification BUFR/CREX,001151,Données de référence sur le niveau moyen de la mer,Table de code,0,0,12,Table de code,0,4,,,Operational
bufr4/0/01/152,01,Classe 01 — Identification BUFR/CREX,001152,Demi-grand axe de l’ellipsoïde de rotation,m,2,0,31,m,2,11,,,Operational
bufr4/0/01/153,01,Classe 01 — Identification BUFR/CREX,001153,Demi-petit axe de l’ellipsoïde de rotation,m,2,0,31,m,2,11,,,Operational
